Serial.no,Century,Region,Level,Sub_level,Records,data_type,data_source,material,Proxy,Record,Variable,Avg,abs_4_negative,log,z_score_cal,Mean,Mean_n,sd_100,Latitude,Longitude,Elevation..m.,Zone,Group,abs_4_log_R,log_value_R,z_score_R,exp_log_R,sub_zone,,,
374,800,Europe,Land,,PDSI,PHYDA point,,,,PHYDA point,PDSI,-0.087336574,NA,NA,NA,NA,NA,NA,68.2,19.8,,High-Latitude,30,1,0,-1.306920587,1,East,,,
375,900,Europe,Land,,PDSI,PHYDA point,,,,PHYDA point,PDSI,0.010807799,NA,NA,NA,NA,NA,NA,68.2,19.8,,High-Latitude,30,1.098144373,0.093621822,-0.467932601,1.098144373,East,,,
376,1000,Europe,Land,,PDSI,PHYDA point,,,,PHYDA point,PDSI,0.028930614,NA,NA,NA,NA,NA,NA,68.2,19.8,,High-Latitude,30,1.116267188,0.109990251,-0.321247615,1.116267188,East,,,
377,1100,Europe,Land,,PDSI,PHYDA point,,,,PHYDA point,PDSI,0.049579387,NA,NA,NA,NA,NA,NA,68.2,19.8,,High-Latitude,30,1.136915961,0.128319299,-0.156992628,1.136915961,East,,,
378,1200,Europe,Land,,PDSI,PHYDA point,,,,PHYDA point,PDSI,0.160252863,NA,NA,NA,NA,NA,NA,68.2,19.8,,High-Latitude,30,1.247589437,0.221213239,0.675472477,1.247589437,East,,,
379,1300,Europe,Land,,PDSI,PHYDA point,,,,PHYDA point,PDSI,0.29238687,NA,NA,NA,NA,NA,NA,68.2,19.8,,High-Latitude,30,1.379723444,0.321883076,1.577620955,1.379723444,East,,,
380,800,Europe,Land,,PDSI,PHYDA point,,,,PHYDA point,PDSI,0.016730964,NA,NA,NA,NA,NA,NA,68.8,15.733333,,High-Latitude,31,1.044209106,0.043259763,-0.60696526,1.044209106,West,,,
381,900,Europe,Land,,PDSI,PHYDA point,,,,PHYDA point,PDSI,0.038629047,NA,NA,NA,NA,NA,NA,68.8,15.733333,,High-Latitude,31,1.066107189,0.064013873,-0.258543935,1.066107189,West,,,
382,1000,Europe,Land,,PDSI,PHYDA point,,,,PHYDA point,PDSI,0.139326691,NA,NA,NA,NA,NA,NA,68.8,15.733333,,High-Latitude,31,1.166804833,0.154269101,1.256666544,1.166804833,West,,,
383,1100,Europe,Land,,PDSI,PHYDA point,,,,PHYDA point,PDSI,-0.027478142,NA,NA,NA,NA,NA,NA,68.8,15.733333,,High-Latitude,31,1,0,-1.333212891,1,West,,,
384,1200,Europe,Land,,PDSI,PHYDA point,,,,PHYDA point,PDSI,0.127747305,NA,NA,NA,NA,NA,NA,68.8,15.733333,,High-Latitude,31,1.155225447,0.144295517,1.089229385,1.155225447,West,,,
385,1300,Europe,Land,,PDSI,PHYDA point,,,,PHYDA point,PDSI,0.045724991,NA,NA,NA,NA,NA,NA,68.8,15.733333,,High-Latitude,31,1.073203133,0.070647759,-0.147173843,1.073203133,West,,,
386,800,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-6.670622247,NA,NA,NA,NA,NA,NA,41.5,0.75,,Mid-Latitude,0,9.462455173,2.247331881,-0.19450524,9.462455173,West,,,
387,900,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,23.4827665,NA,NA,NA,NA,NA,NA,41.5,0.75,,Mid-Latitude,0,39.61584392,3.679229137,0.796311984,39.61584392,West,,,
388,1000,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,21.32118447,NA,NA,NA,NA,NA,NA,41.5,0.75,,Mid-Latitude,0,37.45426189,3.623120506,0.757486993,37.45426189,West,,,
389,1100,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-15.13307742,NA,NA,NA,NA,NA,NA,41.5,0.75,,Mid-Latitude,0,1,0,-1.749571517,1,West,,,
390,1200,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-8.687088746,NA,NA,NA,NA,NA,NA,41.5,0.75,,Mid-Latitude,0,7.445988674,2.007675454,-0.360338168,7.445988674,West,,,
391,1300,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,20.9511111,NA,NA,NA,NA,NA,NA,41.5,0.75,,Mid-Latitude,0,37.08418852,3.613190693,0.750615949,37.08418852,West,,,
392,800,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-8.585405529,NA,NA,NA,NA,NA,NA,42.6425,0.770278,,Mid-Latitude,1,3.813791991,1.338623967,-0.426806037,3.813791991,West,,,
393,900,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,20.44179725,NA,NA,NA,NA,NA,NA,42.6425,0.770278,,Mid-Latitude,1,32.84099477,3.491677576,0.868154399,32.84099477,West,,,
394,1000,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,22.93332148,NA,NA,NA,NA,NA,NA,42.6425,0.770278,,Mid-Latitude,1,35.332519,3.564803758,0.912136357,35.332519,West,,,
395,1100,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-10.89071038,NA,NA,NA,NA,NA,NA,42.6425,0.770278,,Mid-Latitude,1,1.50848714,0.411107255,-0.984663697,1.50848714,West,,,
396,1200,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-11.39919752,NA,NA,NA,NA,NA,NA,42.6425,0.770278,,Mid-Latitude,1,1,0,-1.231925366,1,West,,,
397,1300,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,20.16720471,NA,NA,NA,NA,NA,NA,42.6425,0.770278,,Mid-Latitude,1,32.56640223,3.48328115,0.863104344,32.56640223,West,,,
398,800,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-7.766093373,NA,NA,NA,NA,NA,NA,42.69405,-3.9446,,Mid-Latitude,2,5.031931477,1.615803902,-0.370985855,5.031931477,West,,,
399,900,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,20.76547243,NA,NA,NA,NA,NA,NA,42.69405,-3.9446,,Mid-Latitude,2,33.56349728,3.513439086,0.853268187,33.56349728,West,,,
400,1000,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,22.27236827,NA,NA,NA,NA,NA,NA,42.69405,-3.9446,,Mid-Latitude,2,35.07039312,3.557357274,0.881601883,35.07039312,West,,,
401,1100,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-10.20731176,NA,NA,NA,NA,NA,NA,42.69405,-3.9446,,Mid-Latitude,2,2.59071309,0.951933162,-0.799280209,2.59071309,West,,,
402,1200,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-11.79802485,NA,NA,NA,NA,NA,NA,42.69405,-3.9446,,Mid-Latitude,2,1,0,-1.413417232,1,West,,,
403,1300,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,20.53450349,NA,NA,NA,NA,NA,NA,42.69405,-3.9446,,Mid-Latitude,2,33.33252834,3.506533747,0.848813227,33.33252834,West,,,
404,800,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-7.836343485,NA,NA,NA,NA,NA,NA,46.116667,7.466667,,Mid-Latitude,3,4.802274175,1.569089592,-0.393141883,4.802274175,West,,,
405,900,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,21.42907056,NA,NA,NA,NA,NA,NA,46.116667,7.466667,,Mid-Latitude,3,34.06768822,3.528349376,0.868235023,34.06768822,West,,,
406,1000,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,22.28463701,NA,NA,NA,NA,NA,NA,46.116667,7.466667,,Mid-Latitude,3,34.92325467,3.55315293,0.884203621,34.92325467,West,,,
407,1100,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-10.07153137,NA,NA,NA,NA,NA,NA,46.116667,7.466667,,Mid-Latitude,3,2.56708629,0.942771516,-0.796367204,2.56708629,West,,,
408,1200,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-11.63861766,NA,NA,NA,NA,NA,NA,46.116667,7.466667,,Mid-Latitude,3,1,0,-1.403326132,1,West,,,
409,1300,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,19.98735666,NA,NA,NA,NA,NA,NA,46.116667,7.466667,,Mid-Latitude,3,32.62597432,3.485108729,0.840396575,32.62597432,West,,,
410,800,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-8.049890602,NA,NA,NA,NA,NA,NA,47.09,11.67,,Mid-Latitude,4,3.942608618,1.37184259,-0.376608399,3.942608618,West,,,
411,900,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,20.71532764,NA,NA,NA,NA,NA,NA,47.09,11.67,,Mid-Latitude,4,32.70782686,3.487614403,0.875240693,32.70782686,West,,,
412,1000,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,22.12263809,NA,NA,NA,NA,NA,NA,47.09,11.67,,Mid-Latitude,4,34.11513731,3.529741195,0.900166059,34.11513731,West,,,
413,1100,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-10.76373712,NA,NA,NA,NA,NA,NA,47.09,11.67,,Mid-Latitude,4,1.2287621,0.20600724,-1.066403922,1.2287621,West,,,
414,1200,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-10.99249922,NA,NA,NA,NA,NA,NA,47.09,11.67,,Mid-Latitude,4,1,0,-1.188293237,1,West,,,
415,1300,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,19.66339445,NA,NA,NA,NA,NA,NA,47.09,11.67,,Mid-Latitude,4,31.65589367,3.454924345,0.855898806,31.65589367,West,,,
416,800,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-7.08414551,NA,NA,NA,NA,NA,NA,47.5,12.5,,Mid-Latitude,5,6.1841471,1.821989098,-0.296703086,6.1841471,West,,,
417,900,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,21.42597013,NA,NA,NA,NA,NA,NA,47.5,12.5,,Mid-Latitude,5,34.69426274,3.546574334,0.844877968,34.69426274,West,,,
418,1000,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,21.78240252,NA,NA,NA,NA,NA,NA,47.5,12.5,,Mid-Latitude,5,35.05069513,3.556795446,0.851643784,35.05069513,West,,,
419,1100,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-12.26829261,NA,NA,NA,NA,NA,NA,47.5,12.5,,Mid-Latitude,5,1,0,-1.502760167,1,West,,,
420,1200,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-10.03570154,NA,NA,NA,NA,NA,NA,47.5,12.5,,Mid-Latitude,5,3.23259107,1.173284005,-0.72611036,3.23259107,West,,,
421,1300,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,20.60632028,NA,NA,NA,NA,NA,NA,47.5,12.5,,Mid-Latitude,5,33.87461289,3.522665852,0.829051861,33.87461289,West,,,
422,800,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-9.212598205,NA,NA,NA,NA,NA,NA,49.5,20,,Mid-Latitude,6,4.426144705,1.487528935,-0.440105227,4.426144705,East,,,
423,900,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,22.53284782,NA,NA,NA,NA,NA,NA,49.5,20,,Mid-Latitude,6,36.17159073,3.588274024,0.887482528,36.17159073,East,,,
424,1000,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,21.76641222,NA,NA,NA,NA,NA,NA,49.5,20,,Mid-Latitude,6,35.40515513,3.566857435,0.873948091,35.40515513,East,,,
425,1100,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-12.63874291,NA,NA,NA,NA,NA,NA,49.5,20,,Mid-Latitude,6,1,0,-1.380164643,1,East,,,
426,1200,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-11.10105852,NA,NA,NA,NA,NA,NA,49.5,20,,Mid-Latitude,6,2.53768439,0.931252008,-0.79165023,2.53768439,East,,,
427,1300,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,20.47625324,NA,NA,NA,NA,NA,NA,49.5,20,,Mid-Latitude,6,34.11499615,3.529737057,0.850489482,34.11499615,East,,,
428,800,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-9.059108633,NA,NA,NA,NA,NA,NA,50.1,5.5,,Mid-Latitude,7,4.494550177,1.502865591,-0.434955142,4.494550177,West,,,
429,900,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,22.01441466,NA,NA,NA,NA,NA,NA,50.1,5.5,,Mid-Latitude,7,35.56807347,3.571448423,0.874558191,35.56807347,West,,,
430,1000,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,21.77060893,NA,NA,NA,NA,NA,NA,50.1,5.5,,Mid-Latitude,7,35.32426774,3.564570199,0.870203942,35.32426774,West,,,
431,1100,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-10.97842227,NA,NA,NA,NA,NA,NA,50.1,5.5,,Mid-Latitude,7,2.57523654,0.94594139,-0.787515193,2.57523654,West,,,
432,1200,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-12.55365881,NA,NA,NA,NA,NA,NA,50.1,5.5,,Mid-Latitude,7,1,0,-1.386342005,1,West,,,
433,1300,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,21.42889256,NA,NA,NA,NA,NA,NA,50.1,5.5,,Mid-Latitude,7,34.98255137,3.554849405,0.864050207,34.98255137,West,,,
434,800,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-8.093483293,NA,NA,NA,NA,NA,NA,50.1167,6.8833,,Mid-Latitude,8,6.845557887,1.923599958,-0.338050464,6.845557887,West,,,
435,900,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,22.171313,NA,NA,NA,NA,NA,NA,50.1167,6.8833,,Mid-Latitude,8,37.11035418,3.613896019,0.817637398,37.11035418,West,,,
436,1000,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,22.14408705,NA,NA,NA,NA,NA,NA,50.1167,6.8833,,Mid-Latitude,8,37.08312823,3.613162101,0.817135604,37.08312823,West,,,
437,1100,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-9.000224137,NA,NA,NA,NA,NA,NA,50.1167,6.8833,,Mid-Latitude,8,5.938817043,1.781509963,-0.435200122,5.938817043,West,,,
438,1200,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-13.93904118,NA,NA,NA,NA,NA,NA,50.1167,6.8833,,Mid-Latitude,8,1,0,-1.653252679,1,West,,,
439,1300,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,20.79145415,NA,NA,NA,NA,NA,NA,50.1167,6.8833,,Mid-Latitude,8,35.73049533,3.576004535,0.791730263,35.73049533,West,,,
440,800,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-5.785317665,NA,NA,NA,NA,NA,NA,62.325,28.325,,High-Latitude,9,7.862714775,2.062131938,-0.240471864,7.862714775,East,,,
441,900,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,19.34206482,NA,NA,NA,NA,NA,NA,62.325,28.325,,High-Latitude,9,32.99009726,3.496207433,0.774560621,32.99009726,East,,,
442,1000,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,20.44097963,NA,NA,NA,NA,NA,NA,62.325,28.325,,High-Latitude,9,34.08901207,3.528975106,0.797753439,34.08901207,East,,,
443,1100,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-12.64803244,NA,NA,NA,NA,NA,NA,62.325,28.325,,High-Latitude,9,1,0,-1.700040006,1,East,,,
444,1200,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-7.610398537,NA,NA,NA,NA,NA,NA,62.325,28.325,,High-Latitude,9,6.037633903,1.798012197,-0.427414684,6.037633903,East,,,
445,1300,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,20.33802282,NA,NA,NA,NA,NA,NA,62.325,28.325,,High-Latitude,9,33.98605526,3.525950301,0.795612495,33.98605526,East,,,
446,800,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-8.533237225,NA,NA,NA,NA,NA,NA,63,14.05,,High-Latitude,10,5.739492695,1.747370826,-0.437371899,5.739492695,West,,,
447,900,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,21.20725573,NA,NA,NA,NA,NA,NA,63,14.05,,High-Latitude,10,35.47998565,3.568968753,0.817672521,35.47998565,West,,,
448,1000,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,21.22382624,NA,NA,NA,NA,NA,NA,63,14.05,,High-Latitude,10,35.49655616,3.569435682,0.817994226,35.49655616,West,,,
449,1100,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-13.27272992,NA,NA,NA,NA,NA,NA,63,14.05,,High-Latitude,10,1,0,-1.641275334,1,West,,,
450,1200,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-7.862472886,NA,NA,NA,NA,NA,NA,63,14.05,,High-Latitude,10,6.410257034,1.857899369,-0.36121995,6.410257034,West,,,
451,1300,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,20.52023071,NA,NA,NA,NA,NA,NA,63,14.05,,High-Latitude,10,34.79296063,3.549415086,0.804200436,34.79296063,West,,,
452,800,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-7.452786601,NA,NA,NA,NA,NA,NA,68.15,24.375,,High-Latitude,11,5.647263689,1.731171125,-0.420325997,5.647263689,East,,,
453,900,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,21.36270663,NA,NA,NA,NA,NA,NA,68.15,24.375,,High-Latitude,11,34.46275692,3.539879231,0.841144955,34.46275692,East,,,
454,1000,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,20.92287249,NA,NA,NA,NA,NA,NA,68.15,24.375,,High-Latitude,11,34.02292278,3.527034497,0.832186483,34.02292278,East,,,
455,1100,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-12.10005029,NA,NA,NA,NA,NA,NA,68.15,24.375,,High-Latitude,11,1,0,-1.627719317,1,East,,,
456,1200,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-7.33366006,NA,NA,NA,NA,NA,NA,68.15,24.375,,High-Latitude,11,5.76639023,1.752046275,-0.405766768,5.76639023,East,,,
457,1300,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,18.49176921,NA,NA,NA,NA,NA,NA,68.15,24.375,,High-Latitude,11,31.5918195,3.45289821,0.780480643,31.5918195,East,,,
458,800,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-6.624670994,NA,NA,NA,NA,NA,NA,68.26,19.625,,High-Latitude,12,8.371926366,2.124884009,-0.230153391,8.371926366,East,,,
459,900,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,21.63754253,NA,NA,NA,NA,NA,NA,68.26,19.625,,High-Latitude,12,36.63413989,3.60098059,0.802978723,36.63413989,East,,,
460,1000,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,21.35729519,NA,NA,NA,NA,NA,NA,68.26,19.625,,High-Latitude,12,36.35389255,3.593301284,0.797603914,36.35389255,East,,,
461,1100,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-13.99659736,NA,NA,NA,NA,NA,NA,68.26,19.625,,High-Latitude,12,1,0,-1.717377152,1,East,,,
462,1200,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-8.423517931,NA,NA,NA,NA,NA,NA,68.26,19.625,,High-Latitude,12,6.573079429,1.882982433,-0.399462289,6.573079429,East,,,
463,1300,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,18.79316297,NA,NA,NA,NA,NA,NA,68.26,19.625,,High-Latitude,12,33.78976033,3.520157808,0.746410195,33.78976033,East,,,
464,800,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-6.108753544,NA,NA,NA,NA,NA,NA,68.5,27.5,,High-Latitude,13,6.690798386,1.900733207,-0.224431494,6.690798386,East,,,
465,900,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,21.83490413,NA,NA,NA,NA,NA,NA,68.5,27.5,,High-Latitude,13,34.63445606,3.544849026,0.849117924,34.63445606,East,,,
466,1000,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,21.82383071,NA,NA,NA,NA,NA,NA,68.5,27.5,,High-Latitude,13,34.62338264,3.544529253,0.848909123,34.62338264,East,,,
467,1100,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-11.79955193,NA,NA,NA,NA,NA,NA,68.5,27.5,,High-Latitude,13,1,0,-1.46554298,1,East,,,
468,1200,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-10.14751369,NA,NA,NA,NA,NA,NA,68.5,27.5,,High-Latitude,13,2.65203824,0.975328492,-0.828688008,2.65203824,East,,,
469,1300,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,20.35661604,NA,NA,NA,NA,NA,NA,68.5,27.5,,High-Latitude,13,33.15616797,3.501228762,0.820635435,33.15616797,East,,,
470,800,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-7.550121021,NA,NA,NA,NA,NA,NA,68.625,24.685,,High-Latitude,14,8.072544719,2.088468763,-0.272476243,8.072544719,East,,,
471,900,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,21.32252496,NA,NA,NA,NA,NA,NA,68.625,24.685,,High-Latitude,14,36.9451907,3.609435482,0.778359184,36.9451907,East,,,
472,1000,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,21.27385678,NA,NA,NA,NA,NA,NA,68.625,24.685,,High-Latitude,14,36.89652252,3.608117306,0.777448456,36.89652252,East,,,
473,1100,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-14.62266574,NA,NA,NA,NA,NA,NA,68.625,24.685,,High-Latitude,14,1,0,-1.715398653,1,East,,,
474,1200,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-8.581005841,NA,NA,NA,NA,NA,NA,68.625,24.685,,High-Latitude,14,7.041659899,1.951843923,-0.366870301,7.041659899,East,,,
475,1300,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,22.43948518,NA,NA,NA,NA,NA,NA,68.625,24.685,,High-Latitude,14,38.06215092,3.639220374,0.798937557,38.06215092,East,,,
476,800,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-8.506408048,NA,NA,NA,NA,NA,NA,78.0217,13.9311,,High-Latitude,15,4.612105382,1.528684452,-0.407009084,4.612105382,West,,,
477,900,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,20.22294204,NA,NA,NA,NA,NA,NA,78.0217,13.9311,,High-Latitude,15,33.34145547,3.506801532,0.860908155,33.34145547,West,,,
478,1000,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,22.56318166,NA,NA,NA,NA,NA,NA,78.0217,13.9311,,High-Latitude,15,35.68169509,3.574637815,0.904389299,35.68169509,West,,,
479,1100,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-10.65036749,NA,NA,NA,NA,NA,NA,78.0217,13.9311,,High-Latitude,15,2.46814594,0.903467237,-0.807755679,2.46814594,West,,,
480,1200,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,-12.11851343,NA,NA,NA,NA,NA,NA,78.0217,13.9311,,High-Latitude,15,1,0,-1.386852688,1,West,,,
481,1300,Europe,Atm,,Temp,Paleoview point,,,,Paleoview point,Temp,18.96815987,NA,NA,NA,NA,NA,NA,78.0217,13.9311,,High-Latitude,15,32.0866733,3.468440782,0.836319997,32.0866733,West,,,
482,800,Europe,Land,,Precip,Paleoview point,,,,Paleoview point,Precip,1.395525795,NA,NA,NA,NA,NA,NA,40.5,29.5,,Mid-Latitude,16,1.395525795,0.333271258,-1.041186552,1.395525795,East,,,
483,900,Europe,Land,,Precip,Paleoview point,,,,Paleoview point,Precip,3.397320473,NA,NA,NA,NA,NA,NA,40.5,29.5,,Mid-Latitude,16,3.397320473,1.222987025,1.226473635,3.397320473,East,,,
484,1000,Europe,Land,,Precip,Paleoview point,,,,Paleoview point,Precip,2.768045872,NA,NA,NA,NA,NA,NA,40.5,29.5,,Mid-Latitude,16,2.768045872,1.01814161,0.704374545,2.768045872,East,,,
485,1100,Europe,Land,,Precip,Paleoview point,,,,Paleoview point,Precip,1.642110944,NA,NA,NA,NA,NA,NA,40.5,29.5,,Mid-Latitude,16,1.642110944,0.495982575,-0.626476608,1.642110944,East,,,
486,1200,Europe,Land,,Precip,Paleoview point,,,,Paleoview point,Precip,1.421449113,NA,NA,NA,NA,NA,NA,40.5,29.5,,Mid-Latitude,16,1.421449113,0.351676853,-0.994275351,1.421449113,East,,,
487,1300,Europe,Land,,Precip,Paleoview point,,,,Paleoview point,Precip,2.797212932,NA,NA,NA,NA,NA,NA,40.5,29.5,,Mid-Latitude,16,2.797212932,1.02862354,0.731090331,2.797212932,East,,,
488,800,Europe,Land,,Precip,Paleoview point,,,,Paleoview point,Precip,1.405730933,NA,NA,NA,NA,NA,NA,44.25,6.716667,,Mid-Latitude,17,1.405730933,0.340557405,-0.791084962,1.405730933,West,,,
489,900,Europe,Land,,Precip,Paleoview point,,,,Paleoview point,Precip,3.997046053,NA,NA,NA,NA,NA,NA,44.25,6.716667,,Mid-Latitude,17,3.997046053,1.385555602,1.350574545,3.997046053,West,,,
490,1000,Europe,Land,,Precip,Paleoview point,,,,Paleoview point,Precip,2.616762948,NA,NA,NA,NA,NA,NA,44.25,6.716667,,Mid-Latitude,17,2.616762948,0.961938038,0.482396413,2.616762948,West,,,
491,1100,Europe,Land,,Precip,Paleoview point,,,,Paleoview point,Precip,1.731103933,NA,NA,NA,NA,NA,NA,44.25,6.716667,,Mid-Latitude,17,1.731103933,0.548759317,-0.364387954,1.731103933,West,,,
492,1200,Europe,Land,,Precip,Paleoview point,,,,Paleoview point,Precip,1.082024145,NA,NA,NA,NA,NA,NA,44.25,6.716667,,Mid-Latitude,17,1.082024145,0.078833495,-1.327472011,1.082024145,West,,,
493,1300,Europe,Land,,Precip,Paleoview point,,,,Paleoview point,Precip,2.839720368,NA,NA,NA,NA,NA,NA,44.25,6.716667,,Mid-Latitude,17,2.839720368,1.043705585,0.64997397,2.839720368,West,,,
494,800,Europe,Land,,Precip,Paleoview point,,,,Paleoview point,Precip,1.17596668,NA,NA,NA,NA,NA,NA,46.4983,7.7269,,Mid-Latitude,18,1.17596668,0.162090516,-1.159814211,1.17596668,West,,,
495,900,Europe,Land,,Precip,Paleoview point,,,,Paleoview point,Precip,3.072165562,NA,NA,NA,NA,NA,NA,46.4983,7.7269,,Mid-Latitude,18,3.072165562,1.122382708,0.882376685,3.072165562,West,,,
496,1000,Europe,Land,,Precip,Paleoview point,,,,Paleoview point,Precip,2.760419475,NA,NA,NA,NA,NA,NA,46.4983,7.7269,,Mid-Latitude,18,2.760419475,1.015382652,0.654826631,2.760419475,West,,,
497,1100,Europe,Land,,Precip,Paleoview point,,,,Paleoview point,Precip,1.670851833,NA,NA,NA,NA,NA,NA,46.4983,7.7269,,Mid-Latitude,18,1.670851833,0.513333576,-0.412848458,1.670851833,West,,,
498,1200,Europe,Land,,Precip,Paleoview point,,,,Paleoview point,Precip,1.23879354,NA,NA,NA,NA,NA,NA,46.4983,7.7269,,Mid-Latitude,18,1.23879354,0.214137954,-1.049128311,1.23879354,West,,,
