Serial.no,Century,Region,Level,Sub_level,Records,data_type,data_source,material,Proxy,Record,Variable,Avg,abs_4_negative,log,z_score_cal,Mean,Mean_n,sd_100,Latitude,Longitude,Elevation..m.,Zone,Group,abs_4_log_R,log_value_R,z_score_R,exp_log_R,sub_zone,,,
20,1100,Spannagel Cave,Atm,Air temperature,Temp_recon,Proxy,Stalagmite,Stalagmite,Stalagmite,d18O,Temp,1.9,1.9,0.278753601,0.672173317,0.699374276,0.699374276,0.360555128,47.09,11.67,2531,Mid-Latitude,26,1.9,0.278753601,0.672173317,1.958489116,West,,,
21,1200,Spannagel Cave,Atm,Air temperature,Temp_recon,Proxy,Stalagmite,Stalagmite,Stalagmite,d18O,Temp,1.815555556,1.815555556,0.259009543,0.275514321,0.437181993,0.437181993,0.577456847,47.09,11.67,2531,Mid-Latitude,26,1.815555556,0.259009543,0.275514321,1.317207968,West,,,
22,1300,Spannagel Cave,Atm,Air temperature,Temp_recon,Proxy,Stalagmite,Stalagmite,Stalagmite,d18O,Temp,1.452580645,1.452580645,0.162140253,-1.670593974,-0.689821933,-0.689821933,0.283454497,47.09,11.67,2531,Mid-Latitude,26,1.452580645,0.162140253,-1.670593974,0.188135285,West,,,
23,800,Northern inland Iberia,Land,Land surface temperature,Temp,Proxy,Stalagmite,Stalagmite,Stalagmite,d13C,Temp,0.18037037,0.18037037,-0.743834804,0.410094569,0.144234132,0.144234132,0.155327978,42.69405,-3.9446,860-1640,Mid-Latitude,22,0.18037037,-0.743834804,0.410094569,1.50696029,West,,,
24,900,Northern inland Iberia,Land,Land surface temperature,Temp,Proxy,Stalagmite,Stalagmite,Stalagmite,d13C,Temp,0.246666667,0.246666667,-0.607889534,0.622934787,0.810400987,0.810400987,0.145532505,42.69405,-3.9446,860-1640,Mid-Latitude,22,0.246666667,-0.607889534,0.622934787,1.864391613,West,,,
25,1000,Northern inland Iberia,Land,Land surface temperature,Temp,Proxy,Stalagmite,Stalagmite,Stalagmite,d13C,Temp,0.269642857,0.269642857,-0.56921108,0.683491,1.041273258,1.041273258,0.132482903,42.69405,-3.9446,860-1640,Mid-Latitude,22,0.269642857,-0.56921108,0.683491,1.980780581,West,,,
26,1100,Northern inland Iberia,Land,Land surface temperature,Temp,Proxy,Stalagmite,Stalagmite,Stalagmite,d13C,Temp,0.198461538,0.198461538,-0.702323647,0.47508575,0.326020102,0.326020102,0.203542473,42.69405,-3.9446,860-1640,Mid-Latitude,22,0.198461538,-0.702323647,0.47508575,1.608152091,West,,,
27,1200,Northern inland Iberia,Land,Land surface temperature,Temp,Proxy,Stalagmite,Stalagmite,Stalagmite,d13C,Temp,0.096956522,0.096956522,-1.013422972,-0.011981201,-0.693935483,-0.693935483,0.245938551,42.69405,-3.9446,860-1640,Mid-Latitude,22,0.096956522,-1.013422972,-0.011981201,0.988090288,West,,,
28,1300,Northern inland Iberia,Land,Land surface temperature,Temp,Proxy,Stalagmite,Stalagmite,Stalagmite,d13C,Temp,0.004,0.004,-2.397940009,-2.179624906,-1.627992996,-1.627992996,0.296883816,42.69405,-3.9446,860-1640,Mid-Latitude,22,0.004,-2.397940009,-2,0.11308394,West,,z_score,-2.179624906
29,800,Holzmaar,Atm,Air temperature,Temp..Jan&Jul_avg,Proxy,Lake,Sediment,Pollen,Pollen,Temp,-1.63,1,0,-1.290303625,-1.103446109,-0.316991598,0,50.1167,6.8833,425,Mid-Latitude,5,1,0,-1.177880669,1,West,,,
30,900,Holzmaar,Atm,Air temperature,Temp..Jan&Jul_avg,Proxy,Lake,Sediment,Pollen,Pollen,Temp,-1.115,1.515,0.180412633,1.592828817,1.514326234,0.304875676,0.035355339,50.1167,6.8833,425,Mid-Latitude,5,1.515,0.415415439,1.454047122,1.515,West,,,
